name,state,lat,lon,formatted_address,types,confidence,source
"City Of Homewood, AL",Alabama,33.4717732,-86.80082279999999,"Homewood, AL, USA","locality,political",high,google
"City Of Trussville, AL",Alabama,33.6198251,-86.60887559999999,"Trussville, AL, USA","locality,political",high,google
"City Of Enterprise, AL",Alabama,31.3151708,-85.85521609999999,"Enterprise, AL 36330, USA","locality,political",high,google
"City Of Daphne, AL",Alabama,30.6035255,-87.9036047,"Daphne, AL, USA","locality,political",high,google
"City Of Madison, AL",Alabama,34.6992579,-86.74833180000002,"Madison, AL, USA","locality,political",high,google
"City Of Opelika, AL",Alabama,32.6454116,-85.3782795,"Opelika, AL, USA","locality,political",high,google
"City Of Bessemer, AL",Alabama,33.4017766,-86.954437,"Bessemer, AL, USA","locality,political",high,google
"City Of Alabaster, AL",Alabama,33.2442813,-86.8163773,"Alabaster, AL, USA","locality,political",high,google
"City Of Gadsden, AL",Alabama,34.014264,-86.0066386,"Gadsden, AL, USA","locality,political",high,google
"City Of Vestavia Hills, AL",Alabama,33.4487183,-86.7877668,"Vestavia Hills, AL, USA","locality,political",high,google
"City Of Northport, AL",Alabama,33.229007,-87.5772293,"Northport, AL, USA","locality,political",high,google
"City Of Phenix City, AL",Alabama,32.4709761,-85.0007653,"Phenix City, AL, USA","locality,political",high,google
"City Of Florence, AL",Alabama,34.79981,-87.677251,"Florence, AL, USA","locality,political",high,google
"City Of Hoover, AL",Alabama,33.4053867,-86.8113781,"Hoover, AL, USA","locality,political",high,google
"City Of Auburn, AL",Alabama,32.6082403,-85.4799167,"Auburn, AL, USA","locality,political",high,google
"City of Tuscaloosa, AL",Alabama,33.21031,-87.5658722,"Tuscaloosa, AL, USA","locality,political",high,google
"City Of Dothan, AL",Alabama,31.2233594,-85.389326,"Dothan, AL, USA","locality,political",high,google
"Shelby County, AL",Alabama,33.3039292,-86.6611083,"Shelby County, AL, USA","administrative_area_level_2,political",high,google
"City Of Prattville, AL",Alabama,32.4640245,-86.4596966,"Prattville, AL, USA","locality,political",high,google
"City Of Athens, AL",Alabama,34.8028661,-86.9716741,"Athens, AL, USA","locality,political",high,google
"Baldwin County, AL",Alabama,30.6010744,-87.77633329999999,"Baldwin County, AL, USA","administrative_area_level_2,political",high,google
"City Of Decatur, AL",Alabama,34.6059253,-86.9833417,"Decatur, AL, USA","locality,political",high,google
"Mobile, AL",Alabama,30.6953657,-88.0398912,"Mobile, AL, USA","locality,political",high,google
"Lee County, AL",Alabama,32.5888702,-85.39627689999999,"Lee County, AL, USA","administrative_area_level_2,political",high,google
"City of Montgomery, AL",Alabama,32.3798244,-86.3075741,"Montgomery, AL, USA","locality,political",high,google
"County Of Chambers, AL",Alabama,32.9028048,-85.35496499999999,"Chambers County, AL, USA","administrative_area_level_2,political",high,google
"County Of Franklin, AL",Alabama,34.3967457,-87.6186379,"Franklin County, AL, USA","administrative_area_level_2,political",high,google
"County Of Geneva, AL",Alabama,31.0329572,-85.8638242,"Geneva, AL 36340, USA","locality,political",high,google
"County Of Lawrence, AL",Alabama,34.567428,-87.30161319999999,"Lawrence County, AL, USA","administrative_area_level_2,political",high,google
"County Of Dallas, AL",Alabama,32.2332138,-87.14228949999999,"Dallas County, AL, USA","administrative_area_level_2,political",high,google
"County Of Tallapoosa, AL",Alabama,32.9201244,-85.84862360000001,"Tallapoosa County, AL, USA","administrative_area_level_2,political",high,google
"County Of Pike, AL",Alabama,31.8395163,-86.0121573,"Pike County, AL, USA","administrative_area_level_2,political",high,google
"County Of Marion, AL",Alabama,32.6323536,-87.3191655,"Marion, AL 36756, USA","locality,political",high,google
"County Of Chilton, AL",Alabama,32.944392,-86.6611083,"Chilton County, AL, USA","administrative_area_level_2,political",high,google
"County Of Dale, AL",Alabama,31.4645298,-85.684578,"Dale County, AL, USA","administrative_area_level_2,political",high,google
"County Of Escambia, AL",Alabama,31.1394734,-87.14228949999999,"Escambia County, AL, USA","administrative_area_level_2,political",high,google
"County Of Coffee, AL",Alabama,31.4751172,-86.0121573,"Coffee County, AL, USA","administrative_area_level_2,political",high,google
"County Of Covington, AL",Alabama,31.3066438,-86.49965460000001,"Covington County, AL, USA","administrative_area_level_2,political",high,google
"County Of Jackson, AL",Alabama,34.7090388,-86.0121573,"Jackson County, AL, USA","administrative_area_level_2,political",high,google
"County Of Elmore, AL",Alabama,32.5387448,-86.3149712,"Elmore, AL, USA","locality,political",high,google
"County Of Colbert, AL",Alabama,34.7117567,-87.89424509999999,"Colbert County, AL, USA","administrative_area_level_2,political",high,google
"County Of Cullman, AL",Alabama,34.1748208,-86.8436124,"Cullman, AL, USA","locality,political",high,google
"County Of Walker, AL",Alabama,33.8563605,-87.30161319999999,"Walker County, AL, USA","administrative_area_level_2,political",high,google
"County Of Blount, AL",Alabama,34.0145152,-86.49965460000001,"Blount County, AL, USA","administrative_area_level_2,political",high,google
"County Of Autauga, AL",Alabama,32.5791817,-86.49965460000001,"Autauga County, AL, USA","administrative_area_level_2,political",high,google
